transaction_id,customer_name,product_name,quantity,unit_price,transaction_date,email,phone,region,_record_count
1,142bc41a3a3c251db9a6467653bc2ae831b0b6c67aadb836b55af18128c272b6,f87312d6c807c9c6b5ff79f3b8ced7ff61ba976f50c35455328d57895bf0c857,2,65.5,2026-04-02,9db5b78da0d0db9678363d5a56a3d66894e9f57543df331cea5049218c8abdf9,3d100be42844095700446f523cded389469adf2b02024505cfe58866a2e2b9ec,South,1
2,c8bb5a25aaf0c67608545e80fdfe1e16ecccf39277ea107fba43c876a58c017d,e5265e18dd26f31d7901dbca55e7c36ab5c7da92cee786ef14df630064bc43af,3,81.0,2026-04-03,6c7b4a085deb7ae31a01b3df7c93e29a93c44a11b2d4d3a4a979a860e35fab27,1950f63d2a8ec48e3fbd897b50bd9a7bdea88f4f49f665357969a7417db22c95,East,1
3,417c551aa5d593c2417ab3cf36da4a639358d63f2c9bf8532e2c4fa9de2786ed,1cdb17bdf25a75a6bf278031a51df14705cb84e1bf1a3d7df03d0ce478292051,4,96.5,2026-04-04,ca036c52383aaff4920591215e25f7859100f55db8437e09bda3523169eb58eb,d675cfb0ce865c77fdfd753d032b0ffac395340cc0797080966bac8b0fa199ef,West,1
4,3ab71a46b6646909e3b368658bd3fa47fe485da9d28b7485509fb6a79c281dae,69e58120b4ddbf4e1a3bf6dcaacf45bd8559f64381085a84ffc716fcc950d9d1,5,112.0,2026-04-05,90028c04019ee2576cda9163eba61e6c980fe38795fcb6207af6623a47c20036,2d6a3513f024e5fe776870ab9dc4e6c0c1c8af3ead8679dc3f02d7c7a26bfc29,North,1
5,1a7920bf8ae3ff6d3d493b1e70cc72c17fa580519b042da3d53a5b91c5098c97,211779619ebf620ba91717a17845b1cce9e30cec645b3327527c8fa13f9811f1,6,127.5,2026-04-06,cf15902bb9e20379767baf6957cbbc8840d3a5b8887941b8f0f7e12c4d509658,8028a438ab289ddd12024523b844c46c3f0bc8afe6b64244266dc32a49e1f89c,South,1
6,dcdd081edbf469f3d8d05b8762dcfcce65b46958dac4909826a2be83daaf0171,f87312d6c807c9c6b5ff79f3b8ced7ff61ba976f50c35455328d57895bf0c857,7,143.0,2026-04-07,5de510c5950162f688e35cc70a5c3450b0d428e33bae24fb04fbb175997c9d80,255dbb0e06fdfe605ce4c5d6a45f8bbd13258a33f7bfb1c0fd13827faa6a6157,East,1
7,95f400b0d05c7432ced31e619457cd748e32b43293c1fba2588c92bcbd8da41e,e5265e18dd26f31d7901dbca55e7c36ab5c7da92cee786ef14df630064bc43af,8,158.5,2026-04-08,cf1c2627696dd3180df0a061d61f8f08ea3ad789e3b00792af39ed093de5d781,7adeebda47522c969a5506bb91ab398ee8b99e52cd26f9e461857c550822d4c9,West,1
8,563f573355fc858ba59c1bbdf57ad2fc533ec1bcfc4b711680ce53661cb39211,1cdb17bdf25a75a6bf278031a51df14705cb84e1bf1a3d7df03d0ce478292051,9,174.0,2026-04-09,b68834396e24a9f4f9347e5dbef6d9992f03c72992634bb24c36eee9e0ae72b5,6770ab433894015812d3245a23ae012a7c32941cdcf648802eab4fb7ef08ccb0,North,1
9,5175f1ca41151b06b20a7a964d7c5565819d316c943a4a2de48cdebc5ef007e5,69e58120b4ddbf4e1a3bf6dcaacf45bd8559f64381085a84ffc716fcc950d9d1,10,189.5,2026-04-10,96f3c24f90c95f45570dc39d857bd450e765dabe66bebaa4200a4573dd59e9b8,858ddd289ab93bb13860c6c2adde07258818c7dcf962c5ff7e506e07c1ccb8f6,South,1
10,0145b62db1ecab488b12d7aeba7e750ea8b500b9493b399f53d2156a811a8d20,211779619ebf620ba91717a17845b1cce9e30cec645b3327527c8fa13f9811f1,1,205.0,2026-04-11,a554f14082a93fca040c32c974fbf03d39bae26453ec7baed2b10dd6fff905f2,92b5072176e723878b5e06ff3ca61898e4eb74e8c46642a0f2db800b17364ab0,East,1
11,955260a64fbf967287fdda3c1e5b6a8478e967384576f5257be164cbaa92c5c2,f87312d6c807c9c6b5ff79f3b8ced7ff61ba976f50c35455328d57895bf0c857,2,220.5,2026-04-12,c79133afc909d1368870fa5d0331999e0b44c847ad1ed2c16b89474c6529967e,69e8e7ba2a26a2fc5cce84373d850c211628c0ca87347fef09138e21a0e77993,West,1
12,a825376902c35f63585a49d4ad55c9439ec934d7040d74e7f85847bd9f090c9b,e5265e18dd26f31d7901dbca55e7c36ab5c7da92cee786ef14df630064bc43af,3,236.0,2026-04-13,031a6aa03352a831dcc384b0e047805dbaf2a568d787b8eab8fb8e4eee23edf8,deb145d34d0500c7c81e8f1d7c9f70c1a02f052537c293354348245e12966f1b,North,1
13,00a466bca767cc20ae63f4631e77c162a4aad3e177b1d9d8e781d98e3d01bc77,1cdb17bdf25a75a6bf278031a51df14705cb84e1bf1a3d7df03d0ce478292051,4,251.5,2026-04-14,41f05885de249449700d3f44c8e3cc7339047903a2e6db61a5d97b23b8e7c884,d21f31c18890f7cff3a4ce8e83832fb7aa4c0578de6de343918728ced49ac467,South,1
14,8c15934cf845f352b32ac6c52702e4ffc0096e63b7535e09ee99b4ca706f22e7,69e58120b4ddbf4e1a3bf6dcaacf45bd8559f64381085a84ffc716fcc950d9d1,5,267.0,2026-04-15,e441929df4b67596a7544b89f56e55b97638198777dd112e93cbe0d0f53dde5e,6438a76da8fe45419e29faad5bbb481b50875c097cc15cd978ffe55906f908e7,East,1
